INFO  - 2016-06-14 17:08:57.803; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2016-06-14 17:08:57.810; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2016-06-14 17:08:57.833; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2016-06-14 17:08:57.838; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2016-06-14 17:08:57.898; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2016-06-14 17:08:57.934; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2016-06-14 17:08:57.940; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /root/mysite/solr-4.10.4/example/solr/collection1/conf/elevate.xml
INFO  - 2016-06-14 17:08:58.089; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2016-06-14 17:08:58.090; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@1297331[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2016-06-14 17:08:58.105; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2016-06-14 17:08:58.126; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/root/mysite/solr-4.10.4/example
INFO  - 2016-06-14 17:08:58.127; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
WARN  - 2016-06-14 17:08:58.467; org.eclipse.jetty.util.component.AbstractLifeCycle; FAILED SocketConnector@0.0.0.0:8983: java.net.BindException: 地址已在使用
java.net.BindException: 地址已在使用
	at java.net.PlainSocketImpl.socketBind(Native Method)
	at java.net.AbstractPlainSocketImpl.bind(AbstractPlainSocketImpl.java:376)
	at java.net.ServerSocket.bind(ServerSocket.java:376)
	at java.net.ServerSocket.<init>(ServerSocket.java:237)
	at java.net.ServerSocket.<init>(ServerSocket.java:181)
	at org.eclipse.jetty.server.bio.SocketConnector.newServerSocket(SocketConnector.java:96)
	at org.eclipse.jetty.server.bio.SocketConnector.open(SocketConnector.java:85)
	at org.eclipse.jetty.server.AbstractConnector.doStart(AbstractConnector.java:316)
	at org.eclipse.jetty.server.bio.SocketConnector.doStart(SocketConnector.java:156)
	at org.eclipse.jetty.util.component.AbstractLifeCycle.start(AbstractLifeCycle.java:64)
